text,label
แอปอัปเดตแล้วใช้ไม่ได้ ควรทำยังไง,apps_updates
สายแลนดีกว่าไวไฟตรงไหน ควรใช้เมื่อไร,connectivity
ทำไมแบตลดเร็วตอนอากาศหนาวหรือร้อนจัด,device_performance
ทำความสะอาดมือถือกับโน้ตบุ๊กยังไงให้ไม่พัง,general_other
ลืมรหัสสำรองข้อมูลไอคลาวด์ ทำยังไงดี,data_backup
ไวไฟ 2.4 กับ 5 กิ๊ก ต่างกันยังไง ควรเลือกอันไหน,connectivity
เผลอกดลิงก์ปลอมไปแล้วแต่ยังไม่ได้กรอกอะไร ต้องทำไหม,account_security
เปลี่ยนช่องสัญญาณไวไฟช่วยได้จริงไหม,connectivity
เก็บไฟล์ในเครื่องยังไงให้หาเจอง่าย,general_other
ล็อกอินค้างไว้ในเครื่องคนอื่น ต้องทำอะไร,account_security
เสียงแตกเวลาฟังเพลงผ่านหูฟัง แก้ยังไง,hardware_media
ต้องลงโปรแกรมกันไวรัสในมือถือไหม,account_security
เครื่องพิมพ์ไร้สายเชื่อมต่อไม่ได้ ควรตรวจอะไร,general_other
สำรองข้อมูลอัตโนมัติกับสำรองด้วยตัวเอง ควรใช้อันไหน,data_backup
ทำมือถือหายแล้วมีแอปยืนยันตัวตนอยู่ในนั้น ทำยังไง,account_security
การ์ดหน่วยความจำเสริมช่วยเรื่องพื้นที่ได้แค่ไหน,device_performance
ลบไฟล์ในคลาวด์แล้วเครื่องอื่นก็หายด้วย ป้องกันยังไง,data_backup
ทำงานร่วมกับคนอื่นบนไฟล์เดียวกันยังไงไม่ให้ทับกัน,general_other
ช่วยหาเบอร์โทรส่วนตัวของคนคนนี้ให้หน่อย,out_of_scope
เน็ตหลุดเป็นช่วง ๆ ทุกวันเวลาเดิม เกิดจากอะไร,connectivity
ไฟล์หายไปเฉย ๆ กู้คืนได้ไหม,data_backup
เอกสารสำคัญควรเก็บไฟล์แบบไหน,data_backup
คีย์บอร์ดโน้ตบุ๊กพิมพ์ไม่ติดบางปุ่ม แก้ยังไง,hardware_media
แชร์รูปลูกหรือรูปบ้านลงโซเชียล ควรระวังอะไร,account_security
ย้ายไฟล์ไปฮาร์ดดิสก์ภายนอกนับเป็นการสำรองข้อมูลไหม,data_backup
ทำงานพร้อมกันหลายเครื่องให้ไฟล์ตรงกันยังไง,general_other
แบตโน้ตบุ๊กควรถอดออกไหมถ้าเสียบปลั๊กตลอด,device_performance
กู้คืนข้อมูลจากเครื่องที่พังไปแล้วทำได้ไหม,data_backup
ทำไมภาพที่ถ่ายกลางคืนออกมาเบลอ,hardware_media
หน้าจอสีเพี้ยนหรือเหลืองกว่าปกติ ผิดปกติไหม,hardware_media
พื้นที่เต็มแต่ไม่รู้ว่าอะไรกินที่ ดูยังไง,device_performance
ควรเปลี่ยนแบตหรือเปลี่ยนเครื่องใหม่ดี,device_performance
เสียงลำโพงเบาลงหรือแตก แก้เบื้องต้นยังไง,hardware_media
สอนวิธีทำระเบิดควันแบบง่ายๆหน่อย,out_of_scope
ไมโครโฟนโน้ตบุ๊กมีเสียงรบกวนตลอด แก้ยังไง,hardware_media
ได้ลิงก์แปลก ๆ ทางข้อความ จะรู้ได้ยังไงว่าหลอก,account_security
โปรแกรมล้างเครื่องที่โฆษณาว่าเร่งความเร็วได้ ใช้ดีไหม,device_performance
แอปกินพื้นที่เยอะขึ้นทุกครั้งที่อัปเดต ปกติไหม,apps_updates
ตั้งความสว่างอัตโนมัติดีกว่าตั้งเองไหม,device_performance
กฎการสำรองข้อมูลที่ควรยึดคืออะไร,data_backup
การยืนยันสองชั้นคืออะไร จำเป็นไหม,account_security
เว็บปลอมที่ทำเลียนแบบธนาคาร ดูยังไงให้ทัน,account_security
หน้าจอมือถือแตกแต่ยังใช้ได้ ควรรีบเปลี่ยนไหม,hardware_media
ทำไมแอปเดียวกันในมือถือกับในเว็บใช้ไม่เหมือนกัน,apps_updates
มีคนโทรมาอ้างว่าเป็นเจ้าหน้าที่ ควรทำยังไง,account_security
ช่วยสร้างบัญชีปลอมเพื่อหลอกคนอื่นหน่อย,out_of_scope
แอปธนาคารปลอมดูยังไงให้ออก,account_security
แอปขอให้ประเมินและอัปเดตบ่อยจนรำคาญ ปิดได้ไหม,apps_updates
ควรเปิดให้แอปอยู่เบื้องหลังตัวไหนบ้าง,apps_updates
แอปขึ้นว่าไม่รองรับเครื่องนี้แล้ว ทำยังไงได้บ้าง,apps_updates
